type,format,identifier,references,title,description,source,audience,created,creator,contributor,publisher,license,rightsHolder
863122239,StillImage,image/jpeg,https://iiif.mcz.harvard.edu/iiif/3/8006/full/max/0/default.jpg,,MCZ:Ich:30969 Astroblepus mancoi,Cat Num: 30969,,,,,,"Museum of Comparative Zoology, Harvard University",http://creativecommons.org/licenses/by-nc-sa/3.0/,© President and Fellows of Harvard College
863122239,StillImage,image/jpeg,https://iiif.mcz.harvard.edu/iiif/3/8003/full/max/0/default.jpg,,MCZ:Ich:30969 Astroblepus mancoi,Cat Num: 30969,,,,,,"Museum of Comparative Zoology, Harvard University",http://creativecommons.org/licenses/by-nc-sa/3.0/,© President and Fellows of Harvard College
863122239,StillImage,image/jpeg,https://iiif.mcz.harvard.edu/iiif/3/8004/full/max/0/default.jpg,,MCZ:Ich:30969 Astroblepus mancoi,Cat Num: 30969,,,,,,"Museum of Comparative Zoology, Harvard University",http://creativecommons.org/licenses/by-nc-sa/3.0/,© President and Fellows of Harvard College
863122239,StillImage,image/jpeg,https://iiif.mcz.harvard.edu/iiif/3/8005/full/max/0/default.jpg,,MCZ:Ich:30969 Astroblepus mancoi,Cat Num: 30969,,,,,,"Museum of Comparative Zoology, Harvard University",http://creativecommons.org/licenses/by-nc-sa/3.0/,© President and Fellows of Harvard College
666582643,StillImage,jpeg,http://fm-digital-assets.fieldmuseum.org/653/100/63855_Astroblepus_pholeter_v_FZ.jpg,,63855 Astroblepus pholeter,63855 Astroblepus pholeter v FZ - 58 mm SL,,,,,,,(c) Field Museum of Natural History - CC BY-NC 4.0,Field Museum of Natural History
666582643,StillImage,jpeg,http://fm-digital-assets.fieldmuseum.org/653/101/63855_Astroblepus_pholeter_d_FZ.jpg,,63855 Astroblepus pholeter,63855 Astroblepus pholeter d FZ - 58 mm SL,,,,,,,(c) Field Museum of Natural History - CC BY-NC 4.0,Field Museum of Natural History
666582643,StillImage,jpeg,http://fm-digital-assets.fieldmuseum.org/653/099/63855_Astroblepus_pholeter_l_FZ.jpg,,63855 Astroblepus pholeter,63855 Astroblepus pholeter l FZ - 58 mm SL,,,,,,,(c) Field Museum of Natural History - CC BY-NC 4.0,Field Museum of Natural History
657038953,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp64253516550193625925.att.pdf,,S68-59,,,,,,,,,University of Kansas Biodiversity Institute
657033627,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp63929803523991312991.att.pdf,,S68-33,,,,,,,,,University of Kansas Biodiversity Institute
657031482,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp63929803523991312991.att.pdf,,S68-33,,,,,,,,,University of Kansas Biodiversity Institute
657029605,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp65951020929491492234.att.pdf,,S68-32,,,,,,,,,University of Kansas Biodiversity Institute
657014602,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp68756408573010326327.att.pdf,,S68-58,,,,,,,,,University of Kansas Biodiversity Institute
657014593,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp67659223201413145770.att.pdf,,S68-57,,,,,,,,,University of Kansas Biodiversity Institute
657014587,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp6407539003093832020.att.pdf,,S68-56,,,,,,,,,University of Kansas Biodiversity Institute
656963228,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp63219921330915816402.att.pdf,,S68-60,,,,,,,,,University of Kansas Biodiversity Institute
656959237,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp67103911665231651879.att.pdf,,WED-1541.pdf,,,,,,,,,University of Kansas Biodiversity Institute
656956072,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp63122336496377689236.att.pdf,,WED-1580.pdf,,,,,,,,,University of Kansas Biodiversity Institute
656954761,,application/pdf,http://biimages.biodiversity.ku.edu/static/Ichthyology/originals/sp63676251693575770993.att.pdf,,S68-61,,,,,,,,,University of Kansas Biodiversity Institute
624083214,StillImage,image/jpeg,https://cdn.floridamuseum.ufl.edu/Fish/192d6899-539c-4d4e-ae44-d004f41c3fd0,,Astroblepidae Astroblepus phelpsi,UF_Fish_30784_IMG_1060_comp_edited.jpg,,,,,,Florida Museum of Natural History Ichthyology,http://creativecommons.org/licenses/by-nc/4.0/,Florida Museum of Natural History Ichthyology
